iter	Passed	Remaining
0	2	226
1	4	221
2	6	225
3	8	211
4	11	213
5	12	191
6	13	176
7	14	171
8	16	168
9	18	162
10	19	157
11	20	151
12	21	146
13	23	141
14	24	138
15	25	135
16	27	134
17	28	129
18	30	130
19	32	131
20	34	131
21	36	128
22	38	128
23	39	126
24	41	123
25	42	122
26	45	122
27	47	120
28	48	119
29	50	117
30	52	116
31	53	114
32	55	112
33	57	111
34	59	111
35	61	109
36	63	107
37	65	107
38	68	106
39	70	105
40	72	104
41	73	101
42	76	100
43	77	98
44	79	96
45	81	96
46	83	94
47	85	92
48	87	90
49	89	89
50	91	87
51	92	85
52	93	83
53	94	80
54	95	78
55	96	75
56	97	73
57	99	72
58	101	70
59	102	68
60	103	66
61	104	64
62	106	62
63	107	60
64	109	59
65	111	57
66	113	56
67	115	54
68	116	52
69	118	50
70	119	48
71	121	47
72	122	45
73	124	43
74	126	42
75	129	40
76	131	39
77	133	37
78	135	36
79	137	34
80	139	32
81	141	31
82	142	29
83	144	27
84	146	25
85	149	24
86	151	22
87	154	21
88	156	19
89	158	17
90	160	15
91	162	14
92	164	12
93	165	10
94	167	8
95	169	7
96	171	5
97	174	3
98	175	1
99	177	0
