iter	Passed	Remaining
0	158	158023
1	161	80789
2	164	54532
3	166	41526
4	168	33480
5	170	28206
6	172	24410
7	174	21589
8	176	19436
9	178	17684
10	181	16288
11	183	15081
12	185	14066
13	186	13154
14	188	12388
15	190	11708
16	191	11087
17	193	10538
18	194	10035
19	195	9587
20	197	9203
21	198	8831
22	199	8493
23	201	8182
24	202	7892
25	203	7626
26	204	7367
27	205	7134
28	207	6935
29	208	6746
30	209	6550
31	210	6360
32	211	6183
33	211	6017
34	212	5860
35	213	5712
36	214	5577
37	215	5444
38	215	5317
39	216	5198
40	217	5084
41	218	4973
42	218	4869
43	219	4772
44	220	4676
45	221	4595
46	222	4508
47	223	4425
48	223	4343
49	224	4265
50	225	4190
51	225	4116
52	226	4044
53	226	3976
54	227	3910
55	228	3846
56	228	3784
57	229	3725
58	230	3670
59	230	3615
60	231	3561
61	232	3511
62	232	3461
63	233	3413
64	234	3368
65	234	3324
66	235	3286
67	236	3243
68	237	3201
69	237	3159
70	238	3121
71	239	3084
72	240	3047
73	240	3012
74	241	2977
75	242	2942
76	242	2908
77	243	2874
78	243	2841
79	244	2809
80	244	2778
81	245	2747
82	245	2715
83	246	2686
84	246	2657
85	247	2630
86	248	2603
87	248	2579
88	249	2558
89	250	2537
90	251	2514
91	252	2490
92	252	2467
93	253	2445
94	254	2426
95	255	2404
96	255	2383
97	256	2361
98	257	2340
99	257	2319
100	258	2299
101	259	2280
102	259	2261
103	260	2242
104	260	2223
105	261	2204
106	262	2186
107	262	2169
108	263	2152
109	264	2137
110	264	2121
111	266	2109
112	266	2093
113	267	2077
114	267	2062
115	268	2047
116	269	2031
117	269	2016
118	270	2001
119	270	1987
120	271	1972
121	271	1957
122	272	1943
123	273	1929
124	273	1915
125	274	1902
126	274	1888
127	275	1875
128	275	1862
129	276	1850
130	277	1841
131	278	1831
132	279	1820
133	280	1811
134	281	1801
135	281	1790
136	282	1778
137	282	1767
138	283	1756
139	284	1745
140	284	1734
141	285	1723
142	285	1713
143	286	1703
144	287	1692
145	287	1682
146	288	1672
147	288	1662
148	289	1653
149	290	1644
150	290	1635
151	291	1625
152	292	1616
153	292	1607
154	293	1597
155	293	1590
156	294	1582
157	295	1576
158	296	1568
159	297	1560
160	297	1550
161	298	1542
162	298	1535
163	299	1527
164	300	1521
165	303	1522
166	303	1515
167	304	1509
168	305	1501
169	306	1494
170	306	1487
171	307	1479
172	308	1472
173	308	1466
174	309	1460
175	311	1457
176	312	1451
177	312	1445
178	313	1438
179	314	1432
180	315	1425
181	315	1419
182	316	1413
183	317	1408
184	320	1411
185	322	1412
186	323	1406
187	324	1401
188	324	1394
189	325	1388
190	326	1382
191	327	1377
192	328	1375
193	331	1376
194	332	1370
195	332	1364
196	333	1358
197	333	1352
198	334	1346
199	335	1340
200	336	1337
201	337	1334
202	338	1329
203	339	1323
204	339	1318
205	340	1312
206	341	1307
207	342	1302
208	343	1301
209	346	1302
210	346	1296
211	347	1291
212	347	1285
213	348	1280
214	349	1274
215	349	1269
216	350	1265
217	351	1262
218	352	1257
219	353	1252
220	353	1247
221	354	1242
222	355	1238
223	356	1234
224	356	1229
225	359	1232
226	360	1229
227	361	1224
228	362	1220
229	363	1215
230	363	1211
231	364	1207
232	365	1204
233	367	1201
234	367	1197
235	368	1193
236	369	1188
237	369	1184
238	370	1180
239	372	1179
240	373	1175
241	373	1171
242	374	1167
243	375	1162
244	375	1158
245	376	1153
246	376	1149
247	377	1144
248	378	1140
249	378	1135
250	379	1132
251	380	1129
252	382	1128
253	383	1124
254	383	1121
255	384	1117
256	384	1112
257	385	1108
258	386	1104
259	386	1100
260	387	1096
261	387	1092
262	388	1089
263	389	1085
264	389	1081
265	390	1077
266	391	1073
267	391	1069
268	392	1065
269	392	1061
270	393	1058
271	394	1055
272	395	1052
273	396	1049
274	396	1046
275	397	1042
276	397	1038
277	398	1035
278	399	1031
279	399	1028
280	400	1024
281	401	1021
282	401	1017
283	402	1014
284	402	1010
285	403	1006
286	403	1003
287	404	999
288	405	996
289	405	992
290	406	989
291	406	986
292	407	983
293	408	980
294	408	976
295	409	973
296	410	970
297	411	968
298	411	965
299	412	962
300	412	959
301	413	955
302	414	952
303	414	949
304	415	946
305	416	943
306	416	940
307	417	937
308	417	934
309	418	931
310	419	928
311	419	925
312	420	922
313	420	919
314	421	916
315	421	913
316	422	910
317	423	907
318	423	904
319	424	901
320	425	899
321	426	898
322	427	896
323	428	893
324	428	890
325	429	887
326	429	884
327	430	882
328	431	879
329	431	876
330	432	873
331	432	870
332	433	867
333	434	865
334	434	863
335	435	860
336	435	857
337	436	854
338	437	852
339	437	849
340	438	846
341	438	844
342	439	842
343	440	840
344	441	837
345	441	835
346	442	832
347	443	830
348	443	828
349	444	826
350	446	824
351	446	822
352	447	819
353	447	817
354	448	814
355	449	812
356	449	809
357	450	807
358	450	804
359	451	802
360	451	799
361	452	797
362	453	795
363	453	793
364	454	791
365	456	790
366	456	787
367	457	785
368	457	783
369	458	780
370	459	778
371	459	776
372	460	773
373	460	771
374	461	769
375	462	767
376	462	764
377	463	762
378	463	760
379	464	757
380	465	755
381	465	753
382	466	751
383	466	748
384	467	746
385	468	744
386	468	742
387	469	741
388	471	740
389	472	739
390	473	737
391	473	735
392	474	733
393	475	731
394	476	729
395	476	727
396	477	725
397	478	723
398	479	722
399	480	720
400	480	718
401	481	716
402	481	713
403	482	711
404	483	710
405	484	708
406	485	707
407	486	705
408	486	703
409	487	701
410	488	699
411	489	697
412	489	696
413	490	694
414	490	692
415	491	690
416	492	688
417	492	686
418	493	684
419	494	682
420	494	680
421	495	678
422	496	676
423	496	675
424	497	673
425	498	671
426	499	670
427	500	668
